,name,rank,marketcap,country,share_price,change1d,change1y,categories
3835,"Brandywine Realty Trust
",4535,$1.13 B,usa,$6.57,0.92%,-54.09%,None
3836,"Core Laboratories
",4530,$1.13 B,netherlands,$24.48,1.35%,-10.51%,None
3837,Precision Drilling Corporation,4539,$1.12 B,canada,$83.22,1.62%,85.51%,None
3838,Revenio,4543,$1.12 B,finland,$42.16,0.47%,-26.77%,None
3839,PDF Solutions,4529,$1.13 B,usa,$30.43,-0.23%,8.25%,software tech semiconductors tech-hardware 
3840,Pliant Therapeutics,4537,$1.12 B,usa,$23.11,0.74%,82.26%,pharmaceuticals biotech 
3841,Mediaset España Comunicación,4534,$1.13 B,spain,$3.61,-6.52%,-26.92%,media-press entertainment 
3842,CryoPort,4519,$1.14 B,usa,$23.39,2.30%,-48.59%,None
3843,ACLEDA Bank,4523,$1.14 B,cambodia,$2.64,0.00%,None,banks financial-services 
3844,Southside Bancshares,4513,$1.15 B,usa,$35.98,-0.58%,-19.36%,banks financial-services 
3845,Laurentian Bank of Canada,4517,$1.14 B,canada,$26.48,1.05%,-25.11%,banks financial-services 
3846,Bonheur ASA,4516,$1.14 B,norway,$27.02,-2.38%,-32.84%,None
3847,Dingdong Maicai,4518,$1.14 B,china,$5.48,0.55%,-31.50%,e-commerce internet retail food 
3848,Westshore Terminals Investment,4521,$1.14 B,canada,$18.10,1.13%,-21.71%,ports infrastructure 
3849,Semrush,4512,$1.15 B,usa,$8.17,1.11%,-54.26%,software tech internet 
3850,Van Lanschot Kempen,4520,$1.14 B,netherlands,$28.45,1.75%,4.98%,banks financial-services 
3851,Novavax,4514,$1.15 B,usa,$13.54,8.84%,-87.78%,pharmaceuticals biotech 
3852,Grendene,4525,$1.14 B,brazil,$1.27,4.19%,-14.77%,footwear 
3853,MFA Financial,4527,$1.14 B,usa,$11.21,0.90%,142.64%,real-estate investment reit 
3854,Photronics,4515,$1.14 B,usa,$18.62,1.61%,-5.89%,semiconductors tech 
3855,MTY Food Group,4524,$1.14 B,canada,$46.83,3.26%,4.93%,restaurant-chains food 
3856,Aimco,4522,$1.14 B,usa,$7.55,0.53%,3.85%,None
3857,Grupa Zywiec,4526,$1.14 B,poland,$111.16,0.00%,-11.41%,beverages alcoholic-beverages 
3858,Danaos,4509,$1.16 B,None,$57.30,2.71%,-22.62%,maritime-transportation container-shipping transportation rental-and-leasing-services 
3859,Lemonade,4508,$1.16 B,usa,$16.78,1.33%,-52.36%,insurance tech internet 
3860,A10 Networks,4505,$1.16 B,usa,$15.84,0.92%,9.58%,software tech internet it-security 
3861,"La-Z-Boy
",4506,$1.16 B,usa,$26.92,1.16%,-24.42%,furniture 
3862,"Zydus Wellness
",4511,$1.15 B,india,$18.14,-0.38%,-27.06%,consumer-goods wellness 
3863,HireRight,4774,$0.92 B,usa,$11.63,1.75%,-16.69%,professional-services staffing-employment 
3864,"Asiana Airlines
",4772,$0.92 B,south-korea,$12.45,5.12%,-19.78%,airlines travel transportation 
3865,THG (The Hut Group),4771,$0.92 B,united-kingdom,$0.67,1.52%,-73.62%,e-commerce internet tech retail 
3866,Opendoor,4507,$1.16 B,usa,$1.83,5.78%,-84.17%,real-estate internet 
3867,Waterdrop Inc.,4503,$1.16 B,china,$2.96,0.34%,114.49%,insurance healthcare 
3868,Employers Holdings,4504,$1.16 B,usa,$42.77,-0.81%,2.37%,insurance 
3869,Savencia Fromage & Dairy,4775,$0.92 B,france,$68.20,-0.16%,-8.05%,food 
3870,Fenix Outdoor,4510,$1.15 B,switzerland,$90.24,0.00%,-28.55%,clothing 
3871,Tauron Polska,4776,$0.92 B,poland,$0.50,0.68%,-28.57%,None
3872,Amerant Bancorp,4773,$0.92 B,usa,$27.40,-1.33%,-20.56%,banks financial-services 
3873,Global Partners LP,4502,$1.16 B,usa,$34.27,0.48%,29.33%,oil-gas energy 
3874,Cardinal Energy,4766,$0.93 B,canada,$5.98,3.09%,40.05%,oil-gas energy 
3875,Innoviva,4765,$0.93 B,usa,$13.37,-0.37%,-20.27%,pharmaceuticals biotech 
3876,Green Dot,4769,$0.93 B,usa,$17.70,1.43%,-48.89%,None
3877,CGN Mining Company,4764,$0.93 B,hong-kong,$0.12,2.13%,9.09%,uranium energy mining 
3878,The First Bancshares,4768,$0.93 B,usa,$30.08,-1.86%,-23.81%,banks financial-services 
3879,Alamar Foods Company,4757,$0.93 B,saudi-arabia,$36.76,-0.72%,None,food 
3880,Zuora,4760,$0.93 B,usa,$7.00,2.19%,-56.22%,software tech 
3881,Amryt Pharma,4755,$0.93 B,united-kingdom,$14.71,0.07%,39.43%,pharmaceuticals biotech 
3882,Adecoagro,4762,$0.93 B,None,$8.54,1.07%,13.41%,agriculture 
3883,"BLS International
",4761,$0.93 B,india,$2.26,10.87%,-24.41%,None
3884,"Schnitzer Steel
",4756,$0.93 B,usa,$34.26,3.11%,-19.81%,steel-producers steel-industry waste-recycling 
3885,Terveystalo,4763,$0.93 B,finland,$7.38,0.00%,-43.06%,telehealth healthcare tech internet 
3886,Universal Logistics Holdings,4767,$0.93 B,usa,$35.45,1.17%,93.50%,transportation 
3887,Trinseo,4758,$0.93 B,usa,$26.80,1.61%,-53.16%,None
3888,RAPT Therapeutics,4770,$0.92 B,usa,$27.34,2.24%,-7.64%,pharmaceuticals 
3889,The Necessity Retail REIT,4759,$0.93 B,usa,$6.55,0.61%,-25.57%,reit real-estate investment 
3890,Gree,4748,$0.94 B,japan,$5.45,2.62%,-30.04%,video-games entertainment tech advertising media-press internet 
3891,Matterport,4752,$0.93 B,usa,$3.27,3.15%,-75.49%,software tech 
3892,Ichor Systems,4747,$0.94 B,usa,$32.86,5.90%,-32.66%,semiconductors tech tech-hardware 
3893,Sparkassen Immobilien,4743,$0.94 B,None,$13.47,0.00%,-46.46%,None
3894,Pushpay Holdings,4739,$0.95 B,new-zealand,$0.83,0.00%,-1.19%,internet financial-services tech 
3895,U.S. Silica,4745,$0.94 B,usa,$12.52,0.04%,4.46%,mining 
3896,"iHeartMedia
",4740,$0.95 B,usa,$7.83,1.29%,-62.06%,media-press 
3897,MYT Netherlands Parent (Mytheresa),4744,$0.94 B,germany,$11.20,0.63%,-37.71%,e-commerce tech internet retail clothing luxury-goods 
3898,New Work,4749,$0.94 B,germany,$167.90,-0.77%,-32.35%,tech internet 
3899,"Nürnberger Versicherung
",4742,$0.95 B,germany,$81.45,0.00%,-9.07%,None
3900,Stratasys,4750,$0.94 B,israel,$14.12,0.75%,-41.29%,3d-printing tech 
3901,Kiwi Property,4754,$0.93 B,new-zealand,$0.57,0.00%,-30.49%,real-estate 
3902,TomTom,4746,$0.94 B,netherlands,$7.32,2.12%,-29.95%,tech electronics 
3903,PolyPeptide Group,4751,$0.94 B,switzerland,$28.45,-2.30%,-73.69%,pharmaceuticals biotech chemicals 
3904,SunOpta,4753,$0.93 B,canada,$8.70,-0.11%,47.96%,food 
3905,Kalpataru Power Transmission,4741,$0.95 B,india,$6.39,-2.63%,22.18%,electricity construction energy 
3906,"Sturm, Ruger & Co",4734,$0.95 B,usa,$54.20,-0.07%,-19.19%,None
3907,AmRest,4735,$0.95 B,spain,$4.37,-0.50%,-40.87%,restaurant-chains food 
3908,"SilverCrest Metals
",4728,$0.96 B,canada,$6.54,0.69%,-15.33%,mining silver-mining gold-mining 
3909,Sumo Logic,4733,$0.95 B,usa,$7.98,2.97%,-32.77%,software tech 
3910,Janux Therapeutics,4730,$0.95 B,usa,$23.03,4.63%,56.03%,pharmaceuticals biotech 
3911,"Customers Bancorp
",4731,$0.95 B,usa,$29.50,0.14%,-60.51%,banks financial-services 
3912,BrightSpire Capital,4738,$0.95 B,usa,$7.40,1.02%,-27.00%,real-estate investment reit 
3913,Morguard,4736,$0.95 B,canada,$86.74,0.00%,-17.70%,real-estate 
3914,i3 Verticals,4737,$0.95 B,usa,$28.82,0.45%,24.98%,it-services professional-services software tech 
3915,"Collegium Pharmaceutical
",4732,$0.95 B,usa,$28.55,0.56%,53.99%,pharmaceuticals biotech 
3916,Central Securities,4725,$0.96 B,usa,$35.43,0.11%,-16.42%,asset-management investment 
3917,flatexDEGIRO AG,4727,$0.96 B,germany,$8.78,2.98%,-58.37%,financial-services 
3918,"Cronos Group
",4726,$0.96 B,canada,$2.54,1.39%,-35.24%,cannabis 
3919,"The Greenbrier Companies
",4729,$0.96 B,usa,$29.37,3.02%,-32.05%,None
3920,Premier Financial,4723,$0.96 B,usa,$27.19,-1.34%,-12.49%,banks financial-services 
3921,Barloworld,4724,$0.96 B,south-africa,$5.21,0.92%,-36.31%,conglomerate 
3922,WideOpenWest,4721,$0.96 B,usa,$11.04,0.32%,-45.05%,telecommunication 
3923,Argo Group,4719,$0.96 B,None,$27.62,1.01%,-54.00%,insurance 
3924,First Watch Restaurant,4713,$0.97 B,usa,$16.45,0.49%,12.52%,restaurant-chains food 
3925,Titan Machinery,4722,$0.96 B,usa,$42.59,0.02%,25.12%,None
3926,Global Blue Group,4714,$0.97 B,switzerland,$5.12,-6.40%,-26.86%,financial-services 
3927,Waldencast,4717,$0.96 B,usa,$9.01,0.00%,-9.17%,cosmetics wellness 
3928,Barings BDC,4715,$0.97 B,usa,$8.92,0.28%,-18.29%,investment 
3929,IRSA Inversiones y Representaciones,4720,$0.96 B,None,$6.24,0.70%,53.41%,real-estate 
3930,Ceres Power,4712,$0.97 B,united-kingdom,$5.07,3.90%,-52.39%,hydrogen-fuel-cell 
3931,Global Industrial Company,4718,$0.96 B,usa,$25.52,0.75%,-30.95%,None
3932,"Summit Therapeutics
",4716,$0.96 B,united-kingdom,$4.82,4.90%,101.46%,pharmaceuticals biotech 
3933,Mullen Group,4710,$0.97 B,canada,$10.53,0.28%,11.43%,transportation 
3934,Jeld-Wen,4709,$0.97 B,usa,$11.60,1.58%,-54.65%,None
3935,Nutex Health,4711,$0.97 B,usa,$1.50,0.00%,None,healthcare 
3936,PureTech Health,4707,$0.97 B,usa,$33.37,9.99%,-12.53%,pharmaceuticals biotech 
3937,"Marathon Digital Holdings
",4702,$0.98 B,usa,$8.39,0.24%,-70.65%,bitcoin tech bitcoin-mining 
3938,Perdoceo Education,4706,$0.97 B,usa,$14.58,0.24%,20.65%,education 
3939,Italtile,4696,$0.98 B,south-africa,$0.80,0.00%,-16.67%,retail furniture home-and-kitchen-appliances 
3940,Beyond Meat,4697,$0.98 B,usa,$15.42,-1.85%,-76.84%,food 
3941,National Western Life,4708,$0.97 B,usa,$269.11,0.60%,22.88%,insurance 
3942,Nexa Resources,4695,$0.98 B,None,$7.43,1.17%,-16.19%,mining gold-mining 
3943,"Overstock.com
",4704,$0.97 B,usa,$21.41,1.42%,-56.44%,bitcoin e-commerce tech retail 
3944,"Kura Oncology
",4700,$0.98 B,usa,$14.37,2.13%,9.36%,pharmaceuticals biotech 
3945,Marshalls plc,4703,$0.97 B,united-kingdom,$3.87,0.76%,-58.87%,building-materials 
3946,Omega Flex,4693,$0.98 B,usa,$97.47,-0.37%,-28.76%,None
3947,"Gaotu Techedu
",4705,$0.97 B,china,$3.78,3.85%,108.84%,education 
3948,Dole PLC,4699,$0.98 B,ireland,$10.35,0.98%,-22.93%,food 
3949,Grindr,4694,$0.98 B,usa,$5.67,-0.18%,-44.14%,online-dating internet tech 
3950,UMH Properties,4698,$0.98 B,usa,$17.00,-0.12%,-31.78%,real-estate investment reit 
3951,"Juventus Turin
",4692,$0.98 B,italy,$0.38,0.93%,-2.56%,football 
3952,Verano Holdings,4682,$0.99 B,usa,$3.06,1.49%,-75.96%,cannabis 
3953,Bally's Corporation,4687,$0.99 B,usa,$20.96,2.69%,-37.73%,entertainment gambling 
3954,"Youdao
",4684,$0.99 B,china,$7.88,1.42%,-42.02%,internet tech 
3955,Westrock Coffee,4677,$0.99 B,usa,$13.25,-2.14%,35.90%,beverages 
3956,LeMaitre Vascular,4678,$0.99 B,usa,$45.32,0.22%,-1.03%,medical-devices 
3957,Fnac Darty,4685,$0.99 B,france,$37.03,-6.73%,-43.66%,retail 
3958,Dril-Quip,4683,$0.99 B,usa,$29.28,0.95%,14.99%,oil-gas oil-gas-equipment-services 
3959,Applus Services,4689,$0.98 B,spain,$7.28,1.98%,-21.13%,professional-services 
3960,Pharming Group,4676,$0.99 B,netherlands,$14.83,0.00%,60.15%,pharmaceuticals biotech 
3961,PROG Holdings,4679,$0.99 B,usa,$19.92,1.84%,-52.92%,tech financial-services 
3962,Sterling Construction,4686,$0.99 B,usa,$32.71,1.11%,17.28%,construction 
3963,Jupiter Fund Management,4691,$0.98 B,united-kingdom,$1.81,0.48%,-45.81%,asset-management investment 
3964,ARMOUR Residential REIT,4681,$0.99 B,usa,$6.10,0.25%,-37.19%,reit real-estate investment 
3965,Cymbria,4690,$0.98 B,canada,$43.39,0.00%,-13.25%,investment 
3966,Mesa Laboratories,4688,$0.99 B,usa,$185.61,0.83%,-37.33%,None
3967,Transcontinental,4680,$0.99 B,canada,$11.51,0.06%,-29.56%,packaging 
3968,Modern Times Group (MTG) ,4675,$1.00 B,sweden,$7.85,4.05%,-18.99%,video-games entertainment 
3969,OneSpaWorld,4671,$1.00 B,None,$10.83,0.19%,4.94%,wellness 
3970,Telkom SA,4660,$1.01 B,south-africa,$2.07,3.13%,-30.30%,telecommunication 
3971,AMERISAFE,4672,$1.00 B,usa,$52.28,-0.10%,-5.56%,insurance 
3972,Fortress REIT,4674,$1.00 B,south-africa,$0.61,2.49%,-19.74%,reit real-estate investment 
3973,Tianyu Digital Technology (Dalian),4667,$1.00 B,china,$0.61,2.51%,-36.46%,video-games entertainment 
3974,Dream Finders Homes,4669,$1.00 B,usa,$10.83,4.44%,-45.08%,construction 
3975,Forma Therapeutics,4666,$1.00 B,usa,$20.01,0.00%,83.58%,pharmaceuticals biotech 
3976,Cross Country Healthcare,4663,$1.00 B,usa,$27.05,-4.18%,18.59%,staffing-employment professional-services 
3977,Portillo's,4670,$1.00 B,usa,$20.78,2.57%,-28.00%,food restaurant-chains 
3978,"RITES
",4665,$1.00 B,india,$4.19,3.91%,13.55%,engineering professional-services 
3979,"Jindal Worldwide
",4661,$1.01 B,india,$5.04,-0.26%,26.63%,None
3980,"Kiniksa Pharmaceuticals
",4673,$1.00 B,None,$14.40,-0.14%,27.10%,pharmaceuticals biotech 
3981,GPA,4664,$1.00 B,brazil,$3.72,1.09%,2.20%,None
3982,"Central Puerto
",4662,$1.00 B,None,$6.68,-0.52%,97.78%,energy electricity 
3983,BELLUS Health,4668,$1.00 B,canada,$7.99,0.76%,26.83%,pharmaceuticals 
3984,OrthoPediatrics,4657,$1.01 B,usa,$44.28,0.29%,-17.09%,medical-devices 
3985,"ImmunoGen
",4648,$1.01 B,usa,$4.61,2.44%,-28.97%,pharmaceuticals 
3986,American Axle & Manufacturing,4652,$1.01 B,usa,$8.88,1.78%,-10.71%,automotive-suppliers auto-parts 
3987,Inhibrx,4654,$1.01 B,usa,$23.30,0.09%,-25.98%,pharmaceuticals biotech 
3988,NCC,4650,$1.01 B,sweden,$10.49,1.11%,-42.65%,construction 
3989,SkyWest,4651,$1.01 B,usa,$20.10,1.77%,-51.72%,airlines travel transportation 
3990,Centerspace,4659,$1.01 B,usa,$63.03,-0.17%,-37.50%,real-estate investment reit 
3991,Conduent,4645,$1.01 B,usa,$4.72,0.21%,-15.56%,tech it-services professional-services 
3992,"Jeju Air
",4653,$1.01 B,south-korea,$13.22,4.47%,-7.55%,airlines travel transportation 
3993,"Allogene Therapeutics
",4656,$1.01 B,usa,$7.03,1.15%,-47.06%,pharmaceuticals biotech 
3994,Multi Commodity Exchange,4655,$1.01 B,india,$19.89,-0.46%,-8.47%,stock-exchanges financial-services exchanges 
3995,Teekay Tankers,4646,$1.01 B,canada,$30.06,1.45%,154.31%,transportation maritime-transportation oil-gas 
3996,Sprott Inc,4649,$1.01 B,canada,$40.68,1.09%,4.17%,financial-services 
3997,ProAssurance,4658,$1.01 B,usa,$18.78,-0.16%,-26.38%,insurance 
3998,"MRC Global
",4644,$1.01 B,usa,$12.20,1.23%,48.76%,industrial-supplies 
3999,Healthcare Services Group,4647,$1.01 B,usa,$13.74,0.44%,-26.60%,healthcare 
4000,Arko,4642,$1.02 B,usa,$8.51,1.19%,-2.07%,retail 
4001,"Century Aluminum
",4643,$1.01 B,usa,$11.16,6.54%,-33.86%,aluminum 
4002,"Benchmark Electronics
",4639,$1.02 B,usa,$29.14,2.12%,7.98%,electronics manufacturing 
4003,Community Healthcare Trust,4632,$1.03 B,usa,$40.72,0.07%,-12.67%,medical-care-facilities real-estate investment reit 
4004,Suburban Propane Partners,4629,$1.03 B,usa,$16.23,0.74%,5.94%,oil-gas energy 
4005,GungHo Online Entertainment,4641,$1.02 B,japan,$16.53,2.64%,-23.12%,video-games internet entertainment tech 
4006,InnovAge,4630,$1.03 B,usa,$7.60,0.26%,65.22%,healthcare medical-care-facilities 
4007,Preferred Bank,4636,$1.02 B,usa,$71.62,-1.25%,-11.65%,banks financial-services 
4008,Astra Agro Lestari,4633,$1.02 B,indonesia,$0.54,0.93%,-20.59%,agriculture 
4009,"Galaxy Surfactants
",4640,$1.02 B,india,$28.83,-1.02%,-31.63%,chemicals 
4010,Apogee Enterprises,4631,$1.03 B,usa,$46.38,0.80%,-5.31%,None
4011,Crinetics Pharmaceuticals,4637,$1.02 B,usa,$19.10,0.00%,-20.45%,pharmaceuticals biotech 
4012,Banc of California,4634,$1.02 B,usa,$17.11,-0.58%,-21.73%,banks financial-services 
4013,Construcciones y Auxiliar de Ferrocarriles,4628,$1.03 B,spain,$30.14,0.00%,-28.90%,manufacturing 
4014,BBVA Argentina,4635,$1.02 B,None,$5.04,2.34%,53.04%,None
4015,Li-Cycle,4638,$1.02 B,canada,$5.85,-0.17%,-35.64%,batteries waste-recycling 
4016,Allego,4623,$1.03 B,netherlands,$3.90,0.26%,-60.57%,ev-charging electricity energy 
4017,Columbus McKinnon,4624,$1.03 B,usa,$36.11,1.23%,-27.09%,None
4018,"B&G Foods
",4612,$1.04 B,usa,$14.61,1.25%,-56.48%,food 
4019,Cars.com,4619,$1.03 B,usa,$15.59,1.43%,-5.00%,internet media-press 
4020,"Fulgent Genetics
",4616,$1.04 B,usa,$34.47,3.73%,-56.89%,genomics diagnostics biotech 
4021,"Camping World
",4627,$1.03 B,usa,$24.25,-6.01%,-34.60%,retail 
4022,Heritage Financial,4617,$1.03 B,usa,$29.60,-1.92%,8.90%,banks financial-services 
4023,Open Lending,4621,$1.03 B,usa,$8.21,1.23%,-57.90%,financial-services 
4024,"Karur Vysya Bank
",4614,$1.04 B,india,$1.30,-1.95%,88.41%,banks financial-services 
4025,Palfinger,4625,$1.03 B,None,$29.59,2.44%,-23.04%,machinery-manufacturing manufacturing 
4026,REGENXBIO,4622,$1.03 B,usa,$23.95,2.05%,-14.34%,pharmaceuticals biotech 
4027,Membership Collective,4613,$1.04 B,united-kingdom,$5.29,3.73%,-47.83%,None
4028,LSB Industries,4615,$1.04 B,usa,$12.71,2.01%,16.61%,chemicals 
4029,"Avid Bioservices
",4626,$1.03 B,usa,$16.56,2.25%,-21.01%,pharmaceuticals biotech 
4030,Maxeon Solar Technologies,4620,$1.03 B,singapore,$23.04,1.79%,85.85%,energy renewable-energy manufacturing 
4031,"Fortuna Silver Mines
",4618,$1.03 B,canada,$3.58,1.13%,-2.19%,mining silver-mining 
4032,"Veeco
",4608,$1.05 B,usa,$20.47,1.14%,-36.01%,electronics semiconductors tech 
4033,SiriusPoint ,4611,$1.04 B,None,$6.46,0.00%,-21.03%,insurance 
4034,Ottogi,4289,$1.37 B,south-korea,$367.76,0.55%,-0.28%,food 
4035,Ourpalm,4288,$1.37 B,china,$0.50,3.09%,-35.06%,video-games entertainment 
4036,"Finolex Cables
",4607,$1.05 B,india,$6.88,0.81%,-3.37%,None
4037,National Express Group,4609,$1.04 B,united-kingdom,$1.71,0.07%,-52.23%,transportation 
4038,Mahanagar Gas,4610,$1.04 B,india,$10.62,1.01%,-10.08%,energy oil-gas utility-companies 
4039,Bilfinger,4286,$1.37 B,germany,$33.75,4.79%,-6.17%,engineering 
4040,"Iovance Biotherapeutics
",4602,$1.05 B,usa,$6.68,3.89%,-53.80%,pharmaceuticals biotech 
4041,The Shyft Group,4606,$1.05 B,usa,$30.04,1.21%,-36.09%,specialty-vehicles manufacturing 
4042,P10,4290,$1.37 B,usa,$11.73,0.86%,-11.80%,financial-services asset-management investment 
4043,Zhihu,4605,$1.05 B,china,$1.64,-1.20%,-64.43%,tech internet 
4044,Service Properties Trust,4285,$1.37 B,usa,$8.34,0.54%,-11.61%,real-estate investment reit 
4045,Kratos Defense & Security Solutions,4287,$1.37 B,usa,$10.94,-0.27%,-35.15%,defense-contractors 
4046,MoneyGram,4604,$1.05 B,usa,$10.92,-0.05%,38.69%,financial-services 
4047,"NRC Health
",4603,$1.05 B,usa,$42.68,0.00%,11.70%,healthcare 
4048,"Summerset Holdings
",4277,$1.38 B,new-zealand,$5.97,1.08%,-33.15%,medical-care-facilities 
4049,Outset Medical,4283,$1.38 B,usa,$28.59,1.06%,-21.48%,medical-devices 
4050,Aris Water Solutions,4270,$1.39 B,usa,$15.66,-0.25%,22.44%,None
4051,Pilot Corporation,4278,$1.38 B,japan,$35.15,3.18%,-1.04%,manufacturing 
4052,Mixi,4273,$1.39 B,japan,$19.18,1.68%,4.47%,video-games entertainment tech 
4053,Veidekke,4271,$1.39 B,norway,$10.46,-0.39%,-31.41%,construction 
4054,"Live Oak Bank
",4269,$1.39 B,usa,$31.53,-0.85%,-60.99%,banks financial-services 
4055,Sovos Brands,4276,$1.38 B,usa,$13.74,-1.58%,-2.35%,food 
4056,Planet Labs,4274,$1.39 B,usa,$5.12,1.49%,-18.55%,aerospace 
4057,"Replimune
",4279,$1.38 B,usa,$27.87,0.32%,26.51%,None
4058,"K12
",4275,$1.38 B,usa,$32.28,0.70%,6.69%,education 
4059,Alkami Technology,4282,$1.38 B,usa,$15.10,0.80%,-7.13%,software tech financial-services 
4060,K92 Mining,4280,$1.38 B,canada,$5.94,-0.56%,6.83%,mining gold-mining 
4061,WeWork,4284,$1.37 B,usa,$1.74,3.57%,-81.19%,real-estate 
4062,Gamma Communications,4281,$1.38 B,united-kingdom,$14.28,-0.28%,-33.83%,telecommunication 
4063,"Ladder Capital
",4272,$1.39 B,usa,$11.01,0.18%,-10.20%,real-estate investment reit 
4064,"Qt Group
",4262,$1.39 B,finland,$55.10,2.73%,-54.62%,software tech 
4065,Amphastar Pharmaceuticals,4258,$1.40 B,usa,$29.08,0.45%,14.62%,pharmaceuticals biotech 
4066,FIGS,4267,$1.39 B,usa,$8.42,2.49%,-63.81%,clothing healthcare 
4067,The Chefs' Warehouse,4263,$1.39 B,usa,$36.55,1.19%,11.81%,food 
4068,NLC India,4256,$1.40 B,india,$1.02,2.87%,8.51%,mining electricity energy 
4069,"Bank Islam Malaysia
",4257,$1.40 B,malaysia,$0.78,-0.29%,-3.70%,banks financial-services 
4070,Inter Cars,4259,$1.40 B,poland,$99.14,0.00%,-12.58%,None
4071,Keros Therapeutics,4268,$1.39 B,usa,$50.76,1.80%,-1.98%,biotech pharmaceuticals 
4072,SM Entertainment,4265,$1.39 B,south-korea,$59.89,0.95%,None,entertainment 
4073,"Borr Drilling
",4264,$1.39 B,None,$6.11,1.85%,177.77%,oil-gas energy 
4074,"Construction Partners
",4254,$1.40 B,usa,$26.72,1.19%,0.06%,construction infrastructure 
4075,"Ready Capital
",4260,$1.40 B,usa,$12.52,1.25%,-19.26%,real-estate financial-services 
4076,Travere Therapeutics,4266,$1.39 B,usa,$21.79,4.86%,-20.88%,pharmaceuticals biotech 
4077,TechTarget,4261,$1.40 B,usa,$47.82,0.63%,-43.74%,internet advertising tech 
4078,Asseco,4255,$1.40 B,poland,$16.89,0.13%,-16.76%,software tech 
4079,"Vericel
",4253,$1.40 B,usa,$29.82,1.91%,-16.66%,pharmaceuticals biotech 
4080,HiteJinro,4249,$1.41 B,south-korea,$20.41,0.00%,-19.90%,beverages alcoholic-beverages 
4081,Meliá Hotels International,4244,$1.42 B,spain,$6.46,4.85%,-13.29%,hotels travel 
4082,"Middlesex Water Company
",4246,$1.41 B,usa,$80.46,-1.04%,-21.19%,utility-companies 
4083,Poshmark,4248,$1.41 B,usa,$17.90,0.00%,5.42%,e-commerce tech internet 
4084,"Rent-A-Center
",4241,$1.42 B,usa,$25.55,3.40%,-43.54%,None
4085,Eagle Bancorp,4251,$1.41 B,usa,$44.24,-0.74%,-29.98%,banks financial-services 
4086,BASF India,4245,$1.42 B,india,$32.80,-1.78%,-23.65%,chemicals 
4087,Zentalis Pharmaceuticals,4239,$1.42 B,usa,$24.98,2.57%,-59.36%,pharmaceuticals biotech 
4088,Maytronics,4243,$1.42 B,israel,$12.99,-1.16%,-46.91%,robotics 
4089,DICE Therapeutics,4242,$1.42 B,usa,$29.84,0.74%,83.86%,pharmaceuticals biotech 
4090,"Uranium Energy
",4252,$1.41 B,usa,$3.82,1.19%,14.91%,mining energy uranium 
4091,"Aston Martin
",4238,$1.42 B,united-kingdom,$2.04,6.73%,-89.18%,automakers 
4092,Xometry,4240,$1.42 B,usa,$30.03,3.91%,-39.80%,None
4093,Suzlon,4237,$1.42 B,india,$0.12,-2.00%,-29.41%,renewable-energy 
4094,"Wacker Neuson
",4250,$1.41 B,germany,$19.94,0.55%,-28.73%,None
4095,"PRA Group
",4247,$1.41 B,usa,$36.40,0.83%,-27.76%,financial-services 
4096,Casino Guichard-Perrachon,4235,$1.42 B,france,$13.06,1.86%,-51.56%,retail 
4097,"Enerpac Tool Group
",4230,$1.43 B,usa,$25.16,0.24%,24.80%,tool-manufacturers manufacturing 
4098,YTL Corporation Berhad,4222,$1.44 B,malaysia,$0.13,0.00%,-7.14%,None
4099,UNITI,4221,$1.44 B,usa,$6.09,0.50%,-51.36%,real-estate reit investment telecommunication infrastructure 
4100,Huron Consulting,4234,$1.42 B,usa,$71.59,-0.58%,51.71%,professional-services 
4101,secunet,4233,$1.42 B,germany,$221.01,-0.97%,-41.22%,it-security tech 
4102,Geo Group,4231,$1.43 B,usa,$11.53,0.26%,46.51%,real-estate investment reit 
