name,headquarters,number_of_employees,address,industry,website,market_cap,telephone,revenue
Charles River Laboratories International Inc,United States of America,"18,600","251 Ballardvale St, Wilmington, Massachusetts, 01887",Pharmaceuticals and Healthcare,www.criver.com,$11.9B,1 781 2226000,$3.5B
Flowserve Corp,United States of America,"15,000","Suite 2300, 5215 N. O'Connor Blvd., Irving, Texas, 75039",Industrial Goods and Machinery,www.flowserve.com,$4.3B,1 972 4436500,$3.5B
COSCO Capital Inc,Philippines,"12,332","No. 900 Romualdez St., Paco, Manila, 1007",Retailing,www.coscocapital.com,$621.5M,63 2 5228801,$3.5B
Orascom Construction Plc,United Arab Emirates,"23,341","Office 301-3, Level 3, Gate Village 1, D, Dubai",Construction,www.orascom.com,$408.7M,971 43 180900,$3.5B
Dampskibsselskabet Norden AS,Denmark,"1,050","Strandvejen 52, Hellerup, 2900",Transport and Logistics,norden.com,$2.1B,45 33 150451,$3.6B
Ipsen SA,France,"5,744","65 Quai Georges Gorse, Boulogne-Billancourt, 92100",Pharmaceuticals and Healthcare,www.ipsen.com,$9.5B,33 1 58335000,$3.5B
Leopalace21 Corp,Japan,"4,356","2-54-11, Hon-Cho, Nakano-Ku, Tokyo, 164-8622",Construction,www.leopalace21.co.jp,$807.2M,81 3 53500001,$3.5B
Energa SA,Poland,"8,854","Al. Grunwaldzka 472, Gdansk, 80-309",Power,www.energa.pl,$682.9M,48 58 7788300,$3.5B
Ashok Leyland Ltd,India,"10,101","No. 1, Sardar Patel Road, Guindy, Chennai, 600032",Automotive,www.ashokleyland.com/en,$5.3B,91 44 22206000,$3.6B
Reynolds Consumer Products Inc,United States of America,"5,600","1900 W Field Ct, Lake Forest, Illinois, 60045-4828",Consumer Packaged Goods,www.reynoldsconsumerproducts.com,$6.1B,,$3.6B
PennyMac Financial Services Inc,United States of America,"4,732","3043 Townsgate Rd, Westlake Village, California, 91361-3027",Financial Services,ir.pennymacfinancial.com,$3.2B,1 818 2247442,$3.6B
iHeartMedia Inc,United States of America,"9,180","20880 Stone Oak Parkway, San Antonio, Texas, 78258",Media,www.iheartmedia.com,$1.1B,1 210 8222828,$3.6B
Winbond Electronics Corp,Taiwan,"3,625","No.8, Keya 1st Rd, Cntrl Science Industrl Prk, Daya District, Taichung, 428",Technology and Communications,www.winbond.com,$2.8B,886 42 5218168,$3.6B
Tronox Holdings Plc,United States of America,"6,500","263 Tresser Blvd Ste 1100, Stamford, Connecticut, 06901-3227",Metals and Mining,www.tronox.com,$2.5B,1 203 7053800,$3.6B
ITO EN Ltd,Japan,"8,028","3-47-10, Hon-Machi, Shibuya-Ku, Tokyo, 151-8550",Consumer Packaged Goods,www.itoen.co.jp,$3.4B,81 3 53717111,$3.6B
IBIDEN Co Ltd,Japan,"12,958","2-1, Kanda-Cho, Ogaki-Shi, Gifu, 503-8604",Technology and Communications,www.ibiden.co.jp,$5.5B,81 58 4813111,$3.6B
Riyad Bank,Saudi Arabia,"6,620","Al Shuhada District - Eastern Ring Road, Granada Oasis -Tower (A1), P.O Box 22622, Riyadh, 11416",Financial Services,www.riyadbank.com,$25.4B,966 1 14013030,$3.6B
ResMed Inc,United States of America,"8,160","9001 Spectrum Center Blvd, San Diego, California, 92123-1438",Medical Equipment,www.resmed.com,$33.1B,1 858 8365000,$3.6B
DMG Mori Seiki Co Ltd,Japan,"12,259","2-35-16, Meieki, Nakamura-Ku, Nagoya-Shi, Aichi, 450-0002",Industrial Goods and Machinery,www.dmgmori.co.jp,$1.8B,81 52 5871811,$3.6B
Range Resources Corp,United States of America,527,"100 Throckmorton St Ste 1200, Fort Worth, Texas, 76102-2842",Energy and Utilities,www.rangeresources.com,$6.1B,1 817 8702601,$3.6B
Peloton Interactive Inc,United States of America,"6,195","441 Ninth Avenue, Sixth Floor, New York, 10001",Consumer Packaged Goods,www.onepeloton.com,$3.8B,1 917 6719198,$3.6B
China First Heavy Industries (Group) Co Ltd,China,"8,049","No. 9, Changqian Road, Ruby Office, Fulaerji District, Qiqihaer, Heilongjiang, 161042",Industrial Goods and Machinery,www.cfhi.com,$3.0B,86 452 6810123,$3.6B
Beijing Enterprises Water Group Ltd,Hong Kong,"17,888","66f, Central Plaza, 18 Harbour Road, Wanchai, Sheung Wan, Hong Kong",Clean Technology,www.bewg.net,$2.6B,852  21050800,$3.6B
Altarea SCA,France,"1,996","87 Rue De Richelieu, Paris, 75002",Construction,www.altarea.com,$2.8B,33 1 56262400,$3.6B
Piraeus Financial Holdings SA,Greece,"10,263","Amerikis Str. 4, Athina, 10564",Financial Services,www.piraeusholdings.gr,$2.4B,30 21 03288100,$3.6B
Sumitomo Mitsui Construction Co Ltd,Japan,"5,420","2-1-6, Tsukuda, Chuo-Ku, Tokyo, 104-0051",Construction,www.smcon.co.jp,$523.1M,81 3 45823000,$3.6B
Coloplast A/S,Denmark,"14,572","Holtedam 1-3, Humlebaek, 3050",Medical Equipment,www.coloplast.dk,$24.9B,45  49111111,$3.6B
NIBE Industrier AB,Sweden,"20,400","Hannabadsvagen 5, Markaryd, 28532",Industrial Goods and Machinery,www.nibe.com,$18.3B,46 433 73000,$3.6B
Altran Technologies SA,France,"48,555","96 avenue Charles de Gaulle, Neuilly Sur Seine, Ile-de-France, 92200",Technology and Communications,www.altran.com/,,,$3.6B
Statkraft AS,Norway,"4,800","P.O.Box 200, Lilleakerveien 6, Oslo, 0216",Alternative Energy,www.statkraft.com,,47 24 067000,$3.6B
Zhengzhou Yutong Bus Co Ltd,China,"15,737","No. 6, Yutong Road, Huizu District, Guancheng, Zhengzhou, Henan, 450061",Automotive,www.yutong.com,$2.6B,86 371 66718281,$3.6B
ASICS Corp,Japan,"8,861","7-1-1, Minatojima Naka-Machi, Chuo-Ku, Kobe-Shi, Hyogo, 650-8555",Consumer Packaged Goods,corp.asics.com,$4.3B,81 78 3032231,$3.6B
Lions Gate Entertainment Corp,United States of America,"1,448","Suite 200, 2700 Colorado Avenue, Santa Monica, California, 90404",Media,www.lionsgate.com,$1.6B,1 310 4499200,$3.6B
Elis SA,France,"47,841","5 Boulevard Louis Loucheur, Saint-Cloud, 92210",Business and Consumer Services,corporate-elis.com,$4.0B,33 1 75499400,$3.6B
Companhia de Saneamento Basico do Estado de Sao Paulo,Brazil,"12,372","Rua Costa Carvalho, 300, Pinheiros, Sao Paulo, 05.429-000",Clean Technology,www.sabesp.com.br,$7.3B,55 11 33888000,$3.6B
Maple Leaf Foods Inc,Canada,"13,500","6985 Financial Drive, Mississauga, Ontario, L5N0A1",Consumer Packaged Goods,www.mapleleaffoods.com,$2.3B,1 905 2856194,$3.6B
James Hardie Industries Plc,Ireland,"5,196","2nd Floor Europa House, Harcourt Centre Harcourt Street, Dublin, 2",Construction,www.jameshardie.com,$9.3B,353 1 4116924,$3.6B
Nippon Television Holdings Inc,Japan,"5,096","1-6-1, Higashi Shimbashi, Minato-Ku, Tokyo, 105-7444",Media,www.ntvhd.co.jp,$2.1B,81 3 62154111,$3.6B
Pou Sheng International (Holdings) Ltd,Hong Kong,"28,600","22nd Floor,C-Bons International, Center,108 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong",Retailing,www.pousheng.com,$620.1M,852  31825800,$3.6B
PT Charoen Pokphand Indonesia Tbk,Indonesia,"8,559","Jl. Ancol Viii/1, Jakarta, 14430",Consumer Packaged Goods,cp.co.id,$6.6B,62 21 6919999,$3.6B
Turkiye Sise ve Cam Fabrikalari AS,Turkey,"24,326","Icmeler Mahallesi, D-100 Karayolu Caddesi, No:44a Tuzla, Istanbul, Istanbul-II (Anatolia), 34947",Construction,www.sisecam.com.tr,$7.1B,90 850 2065050,$3.6B
"BMC Stock Holdings, Inc.",United States of America,,"Suite 400, 4800 Falls of Neuse Road, Raleigh, North Carolina, 27609",Construction,www.buildwithbmc.com,,1 919 4311000,$3.6B
Haier Electronics Group Co Ltd,Hong Kong,"16,775","Room 3513, 35 Floor, Central Centre, 99 Queen's Road",Consumer Packaged Goods,www.haier.hk,,852 216 90000,$3.6B
Mayr-Melnhof Karton AG,Austria,"13,008","Brahmsplatz 6, Wien, 1040",Paper and Packaging,www.mm.group,$3.3B,43 1 501360,$3.6B
Quebecor Inc,Canada,"9,172","612 Rue Saint-Jacques, Montreal, Quebec, H3C4M8",Technology and Communications,www.quebecor.com,$5.4B,1 514 3801858,$3.6B
Ciena Corp,United States of America,"7,241","7035 Ridge Rd, Hanover, Maryland, 21076-1426",Technology and Communications,www.ciena.com,$7.6B,1 410 8658500,$3.6B
Yamaha Corp,Japan,"19,895","10-1, Nakazawa-Cho, Naka-Ku, Hamamatsu-Shi, Shizuoka, 430-8650",Consumer Packaged Goods,jp.yamaha.com,$7.1B,81 53 4601111,$3.6B
LPP SA,Poland,"32,000","Ul. Lakowa 39/44, Gdansk, 80-769",Retailing,www.lppsa.com,$4.5B,48 58 7696900,$3.6B
Cheng Shin Rubber Industry Co Ltd,Taiwan,"26,726","No.215, Meei-Kong Road, Huang-Ts'O Village, Dacun, 515",Automotive,www.cst.com.tw,$3.7B,886 4 8525151,$3.6B
Rothschild & Co SCA,France,"4,281","23bis Avenue De Messine, Paris, 75008",Financial Services,www.rothschildandco.com,$3.2B,33 1 53776510,$3.6B
Weatherford International Plc,United States of America,"17,000","2000 St. James Place, Houston, Texas, 77056",Energy and Utilities,www.weatherford.com,$3.8B,1 713 8364000,$3.6B
Banco de Credito del Peru SA,Peru,"27,369","Calle Centenario N 156, Urb. Las Laderas De Melgarejo, La Molina",Financial Services,www.viabcp.com,$8.6B,51 1 3132000,$3.6B
Rockwool International A/S,Denmark,"12,424","Hovedgaden 584, Hedehusene, 2640",Construction,www.rockwool.com,$6.1B,45  46560300,$3.7B
Domtar Corp,United States of America,"6,600","234 Kingsley Park Drive, Fort Mill, South Carolina, 29715",Paper and Packaging,www.domtar.com/en,,1 803 8027500,$3.7B
Bread Financial Holdings Inc,United States of America,"6,000","3095 Loyalty Circle, Columbus, Ohio, 43219",Business and Consumer Services,www.breadfinancial.com,$1.9B,1 614 7294000,$3.7B
OGE Energy Corp,United States of America,"2,185","321 N Harvey, Po Box 321, Oklahoma City, 73101-0321",Power,www.oge.com/wps/portal/SignIn/!ut/p/z1/04_Sj9CPyks,$7.8B,1 405 5533000,$3.7B
NK RussNeft,Russia,"7,978","Ul. Pyatnitskaya, D. 69, Moscow, 115054",Energy and Utilities,www.russneft.ru,$386.9M,7 495 4116309,$3.7B
Trimble Inc,United States of America,"11,931","10368 Westmoor Drive, Westminster, Colorado, 80021",Technology and Communications,www.trimble.com,$13.4B,1 408 4818000,$3.7B
Fuyao Glass Industry Group Co Ltd,China,"26,532","Zone Ii, Fuyao Industrial Village, Fuqing City, Fuzhou, Fujian, 350301",Automotive,www.fuyaogroup.com,$13.8B,86 591 85383777,$3.7B
Hubei Xingfa Chemicals Group Co Ltd,China,"11,779","No.58 Gaoyang Avenue, Gufu Town, Xingshan County, Yichang, Hubei, 443700",Chemicals,www.xingfagroup.com,$5.0B,86 717 6760939,$3.7B
Shanghai Maling Aquarius Co Ltd,China,"13,704","No. 18, Jining Road, Shanghai, 200082",Consumer Packaged Goods,www.shanghaimaling.com,$1.1B,86 21 22866016,$3.7B
Parsons Corp,United States of America,"15,500","Suite 300, 5875 Trinity Parkway, Centreville, Virginia, 20120",Technology and Communications,www.parsons.com,$4.5B,1 703 9888500,$3.7B
Resolute Forest Products Inc,Canada,"6,900","Suite 400, 1010 De La Gauchetiere Street West, Montreal, Quebec, H3B2N2",Paper and Packaging,www.pfresolu.com,$1.6B,1 514 8752515,$3.7B
Screen Holdings Co Ltd,Japan,"5,943","4-1-1, Tenjinkita-Machi, Teranouchi-Agaru, Horikawa-Dori, Kamigyo-Ku, Kyoto-Shi, 602-8585",Technology and Communications,www.screen.co.jp,$3.7B,81 75 4147111,$3.7B
Alliant Energy Corp,United States of America,"3,313","Suite 1000, 4902 North Biltmore Lane, Madison, Wisconsin, 53718-2148",Power,www.alliantenergy.com,$13.9B,1 608 4583311,$3.7B
Hong Leong Asia Ltd,Singapore,"8,119","16 Raffles Quay, #26-00 Hong Leong Building, Singapore, 048581",Consumer Packaged Goods,www.hlasia.com.sg,$374.0M,65 6 2208411,$3.7B
SBM Offshore NV,Netherlands,"5,019","Evert Van De Beekstraat 1-77, Schiphol, 1118CL",Energy and Utilities,www.sbmoffshore.com,$2.9B,31 20 2363131,$3.7B
Vestel Elektronik Sanayi Ve Ticaret AS,Turkey,"20,151","Levent 199 Buyukdere Cad. No 199 Sisli/, Istanbul, 34394",Consumer Packaged Goods,www.vestelyatirimciiliskileri.com,$1.3B,90 212 4562200,$3.7B
CAP SA,Chile,"4,801","Gertrudis Echenique 220, Las Condes",Metals and Mining,www.cap.cl,$1.3B,56 2 28186000,$3.7B
Pitney Bowes Inc,United States of America,"11,500","1 Elmcroft Road, Pitney Bowes Inc, Stamford, Connecticut, 06926-0700",Technology and Communications,www.pitneybowes.com/us,$741.3M,1 203 3565000,$3.7B
SCSK Corp,Japan,"14,938","Toyosu Front, 3-2-20, Toyosu, Koto-Ku, Tokyo, 135-8110",Technology and Communications,www.scsk.jp,$5.0B,81 3 51662500,$3.7B
Sonova Holding AG,Switzerland,"17,073","Laubisruetistrasse 28, Staefa, 8712",Medical Equipment,www.sonova.com,$15.6B,41 58 9283333,$3.7B
American Equity Investment Life Holding Company,United States of America,800,"6000 Westown Pkwy, West Des Moines, Iowa, 50266-7711",Financial Services,www.american-equity.com,$3.9B,1 515 2210002,$3.7B
Mainfreight Ltd,New Zealand,"10,393","2 Railway Lane, Otahuhu, Auckland, 1062",Transport and Logistics,www.mainfreight.com,$4.5B,64 9 2595500,$3.7B
MSC Industrial Direct Co Inc,United States of America,"6,765","515 Broadhollow Road, Melville, New York, 11747",Industrial Goods and Machinery,www.mscdirect.com,$4.4B,1 516 8122000,$3.7B
TPK Holding Co Ltd,Taiwan,"53,510","No.13-18, Section 6, Min Quan East Road, Neihu District, Taipei, 114",Technology and Communications,www.tpk.com,$395.9M,886 2 77271199,$3.7B
Vicat SA,France,"9,639","4 Rue Aristide Berges, Les Trois Vallons, L'Isle-D'Abeau, Paris, 38080",Construction,www.vicat.fr,$1.2B,33 4 74275900,$3.7B
Whitehaven Coal Ltd,Australia,"1,600","L 28 259 George St, Sydney, New South Wales, 2000",Metals and Mining,whitehavencoal.com.au,$5.7B,61 2 82221100,$3.7B
KWG Group Holdings Ltd,China,"4,200","Kwg International Finance Plaza, No. 8 Huaxia Road, Zhujiang Xincheng, Guangzhou, Guangdong, 510623",Construction,www.kwggroupholdings.com,$844.1M,86 20 85500800,$3.7B
Yakult Honsha Co Ltd,Japan,"29,273","2f, Waters Takeshiba, 1-10-30, Kaigan, Minato-Ku, Tokyo, 105-8660",Consumer Packaged Goods,www.yakult.co.jp,$11.9B,81 3 66258960,$3.7B
Shenzhou Intl Group Holdings Ltd,China,"105,100","18 Yongjiang Road, Ningbo Eco & Tech Dev Zone, Zhejiang",Textiles,www.shenzhouintl.com,$19.1B,86 574 86980888,$3.7B
BKW AG,Switzerland,"11,500","Viktoriaplatz 2, Bern, 3013",Power,www.bkw.ch,$7.6B,41 31 3305111,$3.7B
IAC Inc,United States of America,"13,200","555 West 18th Street, New York, 10011",Media,www.iac.com,$4.7B,1 212 3147300,$3.7B
Triple-S Management Corp,United States of America,"3,911","Ave. F.D. Roosevelt #1441, San Juan, Puerto Rico, 00920",Financial Services,management.grupotriples.com,,1 787 7494949,$3.7B
Teradyne Inc,United States of America,"5,900","600 Riverpark Drive, North Reading, Massachusetts, 01864",Technology and Communications,www.teradyne.com,$14.9B,1 978 3702425,$3.7B
Sri Trang Agro-Industry Public Co Ltd,Thailand,"16,730","10 Soi 10 Petchkasem Road, Hatyai, Songkhla, 90110",Chemicals,www.sritranggroup.com,$977.8M,66 74 344663,$3.7B
Banco Davivienda SA,Colombia,"17,167","Avenida El Dorado No. 68 B 31 Piso 1, Bogota",Financial Services,www.davivienda.com,$629.8M,57 1 2203495,$3.7B
Kingboard Laminates Holdings Ltd,Hong Kong,"10,700","2nd Floor, Harbour View 1, No. 12 Science Park East Avenue, Phase 2 Hong Kong Science Park, Shatin",Construction,www.kblaminates.com,$3.7B,85226056493,$3.7B
SAS AB,Sweden,"7,435","Frosundaviks Alle 1, Solna, 16970",Transport and Logistics,www.sasgroup.net,$341.9M,46 8 7970000,$3.7B
Vinhomes JSC,Vietnam,"7,701","458 Minh Khai Street, Vinh Tuy Ward, Hai Ba Trung District, Hanoi",Construction,vinhomes.vn,$9.8B,84 4 39749350,$3.7B
Advantest Corp,Japan,"5,941","Shin Marunouchi Center Bldg., 1-6-2, Marunouchi, Chiyoda-Ku, Tokyo, 100-0005",Technology and Communications,www.advantest.com/ja,$14.1B,81 3 32147500,$3.7B
AutoCanada Inc.,Canada,"5,400","200-15511 123 Avenue Nw, Edmonton, Alberta, T5V1E5",Automotive,investors.autocan.ca,$432.4M,1 780 7323135,$3.7B
Abercrombie & Fitch Co,United States of America,"7,000","6301 Fitch Path, New Albany, Ohio, 43054",Retailing,www.abercrombie.com,$1.3B,1 614 2836500,$3.7B
Mettler-Toledo International Inc,United States of America,"15,600","1900 Polaris Pkwy, Columbus, Ohio, 43240-4035",Industrial Goods and Machinery,www.mt.com,$34.3B,16144384511,$3.7B
Want Want China Holdings Ltd,China,"41,265","No.1088, East Hong Song Road, Shanghai, 201103",Consumer Packaged Goods,www.want-want.com,$8.3B,86 21 61151111,$3.7B
Pandora AS,Denmark,"22,441","Havneholmen 17 - 19, Copenhagen, 1561",Consumer Packaged Goods,www.pandoragroup.com,$7.9B,45 36 720044,$3.7B
EVA Airways Corp,Taiwan,"11,659","No.376, Section 1, Hsin-Nan Road, Taoyuan, 338",Transport and Logistics,www.evaair.com,$5.0B,886 3 3515151,$3.7B
Kuwait Finance House,Kuwait,"2,537","Abdullah Al Mubarak Street Murqab, Safat, P.O. Box 24989, 13110",Financial Services,www.kfh.com,$35.8B,965  22445050,$3.7B
Foxconn Technology Co Ltd,Taiwan,"46,100","No.3-2, Chung-Shan Road, Tu-Cheng District, New Taipei, 236",Technology and Communications,www.foxconntech.com.tw,$2.4B,886 2 22680970,$3.7B
Isetan Mitsukoshi Holdings Ltd,Japan,"9,691","3-2-5, Nishishinjuku, Shinjuku-Ku, Tokyo, 160-0023",Retailing,www.imhds.co.jp,$4.1B,81 3 67305686,$3.7B
Kinross Gold Corp,Canada,"8,970","17th Floor, 25 York Street, Toronto, Ontario, M5J2V5",Metals and Mining,www.kinross.com,$5.7B,1 416 3652496,$3.7B
Kansai Paint Co Ltd,Japan,"15,670","2-6-14, Imabashi, Chuo-Ku, Osaka-Shi, 541-8523",Chemicals,www.kansai.co.jp,$3.6B,81 6 62035531,$3.7B
Citi Private Bank,United States of America,,"388 Greenwich Street, New York City, 10013",Financial Services,www.privatebank.citibank.com,,1 212 5591000,$3.7B
Prima Meat Packers Ltd,Japan,"3,611","Shinagawa Seaside West Tower, 4-12-2, Higashi-Shinagawa, Shinagawa-Ku, Tokyo, 140-8529",Consumer Packaged Goods,www.primaham.co.jp,$832.0M,81 3 63861800,$3.7B
Will Semiconductor Co Ltd,China,"4,493","East Building, No. 88 Shangke Road, Pudong New Area, Shanghai, 201210",Technology and Communications,www.omnivision-group.com,$16.3B,86 21 50805043,$3.7B
Sungrow Power Supply Co Ltd,China,"6,726","No.2 Tianhu Road, New & High Technology Industrial Dev Zn, Hefei, Anhui, 230088",Alternative Energy,www.sungrowpower.com,$26.7B,86 551 65325617,$3.7B
Generac Holdings Inc,United States of America,"8,955","S45 W29290 Highway 59, Waukesha, Wisconsin, 53187",Industrial Goods and Machinery,investors.generac.com,$7.2B,1 888 4363722,$3.7B
Financial Street Holdings Co Ltd,China,"3,305","No. 7, Jinchengfang Street, Xicheng District, Beijing, 100033",Construction,www.jrjkg.com.cn,$2.3B,86 10 66573955,$3.7B
M/I Homes Inc,United States of America,"1,657","4131 Worth Avenue Ste 500, Columbus, Ohio, 43219",Construction,www.mihomes.com,$1.5B,1 614 4188000,$3.7B
Unimicron Technology Corp,Taiwan,"29,653","No. 179, Shanying Road, Guishan District, Taoyuan, 333",Technology and Communications,www.unimicron.com,$6.4B,886 3 3500386,$3.7B
Sul America SA,Brazil,"4,000","N 121,Ala Sul - 6 Andar, Cidade Nova, Rio De Janeiro, 20.211-903",Financial Services,portal.sulamericaseguros.com.br,,55 21 25069111,$3.7B
Adani Power Ltd,India,80,"Achalraj,Opp Mayor Bungalow,Law Garden, Ahmedabad, 380006",Power,www.adanipower.com,$13.2B,91 79 25555094,$3.8B
Indus Towers Ltd,India,"3,163","Building No. 10, Tower-A, 4th Floor, DLF Cyber City, Gurugram, Haryana, 122002",Technology and Communications,www.bharti-infratel.com,$5.8B,91 124 4296766,$3.8B
Trigano SA,France,"10,438","100 Rue Petit, Paris, 75019",Automotive,www.trigano.fr,$2.6B,33 1 44521620,$3.8B
Asseco Poland SA,Poland,"31,898","Olchowa 14, Rzeszow, 35-322",Technology and Communications,pl.asseco.com,$1.4B,48 17 8885555,$3.8B
EPAM Systems Inc,United States of America,"58,824","Suite 202, 41 University Drive, Newtown, Pennsylvania, 18940",Technology and Communications,www.epam.com,$20.3B,1 267 7599000,$3.8B
RH,United States of America,"5,700","15 Koch Rd Ste K, Corte Madera, California, 94925-1231",Retailing,www.restorationhardware.com,$7.2B,1 415 9241005,$3.8B
IOI Corp Bhd,Malaysia,"24,247","IOI City Tower 2, Lebuh IRC, Putrajaya, 62502",Consumer Packaged Goods,www.ioigroup.com,$5.7B,60 3 89478888,$3.8B
Wynn Resorts Ltd,United States of America,"26,950","3131 Las Vegas Blvd S, Nevada, 89109-1967",Leisure and Arts,www.wynnresorts.com,$11.1B,1 702 7707555,$3.8B
Pentair Plc,United Kingdom,"11,250","Regal House, 70 London Road, Twickenham, TW13QS",Industrial Goods and Machinery,www.pentair.com,$8.3B,44 161 7031885,$3.8B
Konecranes Plc,Finland,"16,527","Pl 661 (Koneenkatu 8), Hyvinkaa, 05801",Industrial Goods and Machinery,www.konecranes.com,$2.7B,358 2 042711,$3.8B
Mueller Industries Inc,United States of America,"5,337","150 Schilling Blvd Ste 100, Collierville, Tennessee, 38017-7187",Metals and Mining,www.muellerindustries.com,$3.7B,1 901 7533200,$3.8B
Ingenico SA,France,"20,000","28-32 boulevard de Grenelle, Paris, Ile-de-France, 75015",Technology and Communications,www.ingenico.com,,33 1 58018000,$3.8B
Swiss Steel Holding AG,Switzerland,"9,897","Landenbergstrasse 11, Lucerne, Zurich, 6005",Metals and Mining,www.schmolz-bickenbach.com,$734.9M,41 41 5814000,$3.8B
